GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Solucao1,org.example,UtilizadorProfissional,0,79,0,6,0,21,0,12,0,9
Solucao1,org.example,Atividade,27,181,6,8,7,45,8,15,3,13
Solucao1,org.example,AtivDistAltimetria,4,88,4,6,0,23,4,9,0,8
Solucao1,org.example,Corrida,0,125,0,6,0,29,0,11,0,8
Solucao1,org.example,Abdominais,11,113,3,3,2,27,4,7,1,7
Solucao1,org.example,AtivRepsPeso,4,95,4,6,0,24,4,9,0,8
Solucao1,org.example,PlanoTreino.AtividadeIteracoes,0,110,1,9,0,26,1,13,0,9
Solucao1,org.example,AppDesportiva,2025,0,175,0,509,0,128,0,24,0
Solucao1,org.example,ProgPrincipal,33,0,2,0,9,0,4,0,3,0
Solucao1,org.example,Trail,18,187,2,10,0,41,4,14,3,9
Solucao1,org.example,Utilizador,427,589,44,22,80,147,73,26,42,24
Solucao1,org.example,AtivDistancia,12,96,4,6,1,24,5,9,1,8
Solucao1,org.example,Ciclismo,0,125,0,6,0,29,0,11,0,8
Solucao1,org.example,UtilizadorAmador,0,79,0,6,0,21,0,12,0,9
Solucao1,org.example,BicepCurls,23,185,5,7,0,39,7,10,3,8
Solucao1,org.example,UtilizadorPraticanteOcasional,0,79,0,6,0,21,0,12,0,9
Solucao1,org.example,BenchPress,14,194,3,9,0,39,5,12,2,9
Solucao1,org.example,Btt,20,185,3,9,0,41,5,13,3,9
Solucao1,org.example,GestorDesportivo,1302,0,86,0,223,0,106,0,63,0
Solucao1,org.example,LegPress,21,187,4,8,0,39,6,11,3,8
Solucao1,org.example,Menu,256,0,18,0,83,0,20,0,11,0
Solucao1,org.example,AtivRepeticoes,4,91,4,6,0,23,4,9,0,8
Solucao1,org.example,Flexoes,0,124,0,6,0,29,0,11,0,8
Solucao1,org.example,PlanoTreino,2,604,6,50,0,126,6,43,0,21
