GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Solucao2,MakeItFit.users.types,Amateur,0,26,0,0,0,6,0,4,0,4
Solucao2,MakeItFit.users.types,Occasional,0,49,0,2,0,13,0,7,0,6
Solucao2,MakeItFit.users.types,Professional,0,108,0,4,0,25,0,11,0,9
Solucao2,MakeItFit.trainingPlan,TrainingPlan,0,241,2,22,0,56,2,26,0,16
Solucao2,MakeItFit.trainingPlan,TrainingPlanManager,172,340,30,39,38,80,25,24,0,13
Solucao2,MakeItFit.utils,EmailValidator,3,8,0,0,1,2,1,1,1,1
Solucao2,MakeItFit.utils,MakeItFitDate,33,142,5,5,6,26,6,18,3,16
Solucao2,MakeItFit.utils,MyTuple,30,52,4,6,5,12,5,7,2,5
Solucao2,MakeItFit.activities.implementation,Trail,0,122,1,11,0,29,1,15,0,10
Solucao2,MakeItFit.activities.implementation,WeightSquat,8,69,0,4,3,16,1,9,1,7
Solucao2,MakeItFit.activities.implementation,Running,0,99,0,8,0,25,0,14,0,10
Solucao2,MakeItFit.activities.implementation,PushUp,0,71,0,4,0,19,0,10,0,8
Solucao2,MakeItFit.time,TimeManager,0,32,0,2,0,10,0,5,0,4
Solucao2,MakeItFit.users,UserManager,138,217,17,29,26,43,19,19,6,9
Solucao2,MakeItFit.users,User,191,269,26,4,46,61,29,22,15,21
Solucao2,MakeItFit.users,Gender,0,21,0,0,0,4,0,1,0,1
Solucao2,MakeItFit,MakeItFit,449,0,8,0,112,0,45,0,41,0
Solucao2,MakeItFit,MakeItFitController,684,0,18,0,122,0,59,0,50,0
Solucao2,MakeItFit,MakeItFitApplication,101,0,4,0,24,0,12,0,10,0
Solucao2,MakeItFit,Main,12,0,0,0,5,0,2,0,2,0
Solucao2,MakeItFit.queries,HowManyAltimetryDone,0,82,4,10,0,17,4,6,0,3
Solucao2,MakeItFit.queries,HowManyKMsDone,0,88,5,13,0,17,5,7,0,3
Solucao2,MakeItFit.queries,MostDemandingTrainingPlan,0,67,1,5,0,17,1,4,0,2
Solucao2,MakeItFit.queries,WhoDidTheMostActivities,0,101,4,16,0,28,4,9,0,3
Solucao2,MakeItFit.queries,QueriesManager,101,0,0,0,19,0,11,0,11,0
Solucao2,MakeItFit.queries,MostDoneActivity,29,98,9,12,8,19,7,8,0,3
Solucao2,MakeItFit.queries,WhoBurnsMoreCalories,66,60,16,6,15,17,9,5,0,3
Solucao2,MakeItFit.menu,MenuItem,45,0,2,0,16,0,7,0,6,0
Solucao2,MakeItFit.menu,Menu,126,0,18,0,30,0,14,0,5,0
Solucao2,MakeItFit.activities.types,Distance,8,57,3,5,2,15,4,7,1,6
Solucao2,MakeItFit.activities.types,DistanceWithAltimetry,13,78,5,5,4,19,7,7,2,7
Solucao2,MakeItFit.activities.types,Repetitions,13,75,5,5,4,19,7,7,2,7
Solucao2,MakeItFit.activities.types,RepetitionsWithWeights,14,53,3,5,5,12,5,6,2,5
Solucao2,MakeItFit.activities,ActivityManager,0,40,0,0,0,5,0,3,0,3
Solucao2,MakeItFit.activities,Activity,33,215,6,4,10,56,9,16,4,16
Solucao2,MakeItFit.exceptions,ExistingEntityConflictException,3,4,0,0,1,1,1,1,1,1
Solucao2,MakeItFit.exceptions,EntityDoesNotExistException,3,4,0,0,1,1,1,1,1,1
Solucao2,MakeItFit.exceptions,InvalidTypeException,7,0,0,0,2,0,2,0,2,0
Solucao2,MakeItFit.views,MakeItFitView,1728,0,45,0,425,0,66,0,40,0
Solucao2,MakeItFit.views,UserView,261,0,10,0,55,0,19,0,14,0
Solucao2,MakeItFit.views,AdminView,933,0,24,0,213,0,53,0,41,0
